arabic_word,normalized_arabic,phonetic_word,simple_latin
بِسْمِ,بسم,Bismi,bsm
ٱللَّهِ,الله,Allahi,allh
ٱلرَّحْمَٰنِ,الرحمان,alrrahmani,alrhman
ٱلرَّحِيمِ,الرحيم,alrraheemi,alrhym
ٱلْحَمْدُ,الحمد,Alhamdu,alhmd
لِلَّهِ,لله,lillahi,llh
رَبِّ,رب,rabbi,rb
ٱلْعَٰلَمِينَ,العالمين,alAAalameena,alaalmyn
ٱلرَّحْمَٰنِ,الرحمان,Alrrahmani,alrhman
ٱلرَّحِيمِ,الرحيم,alrraheemi,alrhym
مَٰلِكِ,مالك,Maliki,malk
يَوْمِ,يوم,yawmi,ywm
ٱلدِّينِ,الدين,alddeeni,aldyn
إِيَّاكَ,اياك,Iyyaka,ayak
نَعْبُدُ,نعبد,naAAbudu,nabd
وَإِيَّاكَ,واياك,waiyyaka,wayak
نَسْتَعِينُ,نستعين,nastaAAeenu,nstayn
ٱهْدِنَا,اهدنا,Ihdina,ahdna
ٱلصِّرَٰطَ,الصراط,alssirata,alsrat
ٱلْمُسْتَقِيمَ,المستقيم,almustaqeema,almstqym
صِرَٰطَ,صراط,Sirata,srat
ٱلَّذِينَ,الذين,allatheena,aldhyn
أَنْعَمْتَ,انعمت,anAAamta,anamt
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
غَيْرِ,غير,ghayri,ghyr
ٱلْمَغْضُوبِ,المغضوب,almaghdoobi,almghdwb
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
وَلَا,ولا,wala,wla
ٱلضَّآلِّينَ,الضالين,alddalleena,aldalyn
ذَٰلِكَ,ذالك,Thalika,dhalk
ٱلْكِتَٰبُ,الكتاب,alkitabu,alktab
لَا,لا,la,la
رَيْبَ,ريب,rayba,ryb
فِيهِ,فيه,feehi,fyh
هُدًى,هدي,hudan,hdy
لِّلْمُتَّقِينَ,للمتقين,lilmuttaqeena,llmtqyn
ٱلَّذِينَ,الذين,Allatheena,aldhyn
يُؤْمِنُونَ,يومنون,yuminoona,ywmnwn
بِٱلْغَيْبِ,بالغيب,bialghaybi,balghyb
وَيُقِيمُونَ,ويقيمون,wayuqeemoona,wyqymwn
ٱلصَّلَوٰةَ,الصلواه,alssalata,alslwah
وَمِمَّا,ومما,wamimma,wmma
رَزَقْنَٰهُمْ,رزقناهم,razaqnahum,rzqnahm
يُنفِقُونَ,ينفقون,yunfiqoona,ynfqwn
وَٱلَّذِينَ,والذين,Waallatheena,waldhyn
يُؤْمِنُونَ,يومنون,yuminoona,ywmnwn
بِمَآ,بما,bima,bma
أُنزِلَ,انزل,onzila,anzl
إِلَيْكَ,اليك,ilayka,alyk
وَمَآ,وما,wama,wma
أُنزِلَ,انزل,onzila,anzl
مِن,من,min,mn
قَبْلِكَ,قبلك,qablika,qblk
وَبِٱلْءَاخِرَةِ,وبالءاخره,wabialakhirati,wbalaakhrh
هُمْ,هم,hum,hm
يُوقِنُونَ,يوقنون,yooqinoona,ywqnwn
أُولَٰٓئِكَ,اولايك,Olaika,awlayk
عَلَىٰ,عليا,AAala,alya
هُدًى,هدي,hudan,hdy
مِّن,من,min,mn
رَّبِّهِمْ,ربهم,rabbihim,rbhm
وَأُولَٰٓئِكَ,واولايك,waolaika,wawlayk
هُمُ,هم,humu,hm
ٱلْمُفْلِحُونَ,المفلحون,almuflihoona,almflhwn
إِنَّ,ان,Inna,an
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
سَوَآءٌ,سواء,sawaon,swaa
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
ءَأَنذَرْتَهُمْ,ءانذرتهم,aanthartahum,aandhrthm
أَمْ,ام,am,am
لَمْ,لم,lam,lm
تُنذِرْهُمْ,تنذرهم,tunthirhum,tndhrhm
لَا,لا,la,la
يُؤْمِنُونَ,يومنون,yuminoona,ywmnwn
خَتَمَ,ختم,Khatama,khtm
ٱللَّهُ,الله,Allahu,allh
عَلَىٰ,عليا,AAala,alya
قُلُوبِهِمْ,قلوبهم,quloobihim,qlwbhm
وَعَلَىٰ,وعليا,waAAala,walya
سَمْعِهِمْ,سمعهم,samAAihim,smahm
وَعَلَىٰٓ,وعليا,waAAala,walya
أَبْصَٰرِهِمْ,ابصارهم,absarihim,absarhm
غِشَٰوَةٌ,غشاوه,ghishawatun,ghshawh
وَلَهُمْ,ولهم,walahum,wlhm
عَذَابٌ,عذاب,AAathabun,adhab
عَظِيمٌ,عظيم,AAatheemun,azym
وَمِنَ,ومن,Wamina,wmn
ٱلنَّاسِ,الناس,alnnasi,alnas
مَن,من,man,mn
يَقُولُ,يقول,yaqoolu,yqwl
ءَامَنَّا,ءامنا,amanna,aamna
بِٱللَّهِ,بالله,biAllahi,ballh
وَبِٱلْيَوْمِ,وباليوم,wabialyawmi,wbalywm
ٱلْءَاخِرِ,الءاخر,alakhiri,alaakhr
وَمَا,وما,wama,wma
هُم,هم,hum,hm
بِمُؤْمِنِينَ,بمومنين,bimumineena,bmwmnyn
يُخَٰدِعُونَ,يخادعون,YukhadiAAoona,ykhadawn
ٱللَّهَ,الله,Allaha,allh
وَٱلَّذِينَ,والذين,waallatheena,waldhyn
ءَامَنُوا,ءامنوا,amanoo,aamnwa
وَمَا,وما,wama,wma
يَخْدَعُونَ,يخدعون,yakhdaAAoona,ykhdawn
إِلَّآ,الا,illa,ala
أَنفُسَهُمْ,انفسهم,anfusahum,anfshm
وَمَا,وما,wama,wma
يَشْعُرُونَ,يشعرون,yashAAuroona,ysharwn
فِى,في,Fee,fy
قُلُوبِهِم,قلوبهم,quloobihim,qlwbhm
مَّرَضٌ,مرض,maradun,mrd
فَزَادَهُمُ,فزادهم,fazadahumu,fzadhm
ٱللَّهُ,الله,Allahu,allh
مَرَضًا,مرضا,maradan,mrda
وَلَهُمْ,ولهم,walahum,wlhm
عَذَابٌ,عذاب,AAathabun,adhab
أَلِيمٌ,اليم,aleemun,alym
بِمَا,بما,bima,bma
كَانُوا,كانوا,kanoo,kanwa
يَكْذِبُونَ,يكذبون,yakthiboona,ykdhbwn
وَإِذَا,واذا,Waitha,wadha
قِيلَ,قيل,qeela,qyl
لَهُمْ,لهم,lahum,lhm
لَا,لا,la,la
تُفْسِدُوا,تفسدوا,tufsidoo,tfsdwa
فِى,في,fee,fy
ٱلْأَرْضِ,الارض,alardi,alard
قَالُوٓا,قالوا,qaloo,qalwa
إِنَّمَا,انما,innama,anma
نَحْنُ,نحن,nahnu,nhn
مُصْلِحُونَ,مصلحون,muslihoona,mslhwn
أَلَآ,الا,Ala,ala
إِنَّهُمْ,انهم,innahum,anhm
هُمُ,هم,humu,hm
ٱلْمُفْسِدُونَ,المفسدون,almufsidoona,almfsdwn
وَلَٰكِن,ولاكن,walakin,wlakn
لَّا,لا,la,la
يَشْعُرُونَ,يشعرون,yashAAuroona,ysharwn
وَإِذَا,واذا,Waitha,wadha
قِيلَ,قيل,qeela,qyl
لَهُمْ,لهم,lahum,lhm
ءَامِنُوا,ءامنوا,aminoo,aamnwa
كَمَآ,كما,kama,kma
ءَامَنَ,ءامن,amana,aamn
ٱلنَّاسُ,الناس,alnnasu,alnas
قَالُوٓا,قالوا,qaloo,qalwa
أَنُؤْمِنُ,انومن,anuminu,anwmn
